Time (s), X (m/s2), Y (m/s2), Z (m/s2), R (m/s2), Theta (deg), Phi (deg)
1.0820142,1.261050,9.864000,1.290000,10.027604,82.608704,82.714615
1.0866779,1.245000,9.868951,1.273050,10.028304,82.706871,82.809937
1.0913416,1.258950,9.871051,1.314000,10.037390,82.477791,82.731758
1.0960056,1.225050,9.888000,1.290000,10.046761,82.622879,82.937462
1.1006695,1.254000,9.889951,1.276050,10.050470,82.705803,82.773720
1.1053351,1.266000,9.901951,1.267950,10.062757,82.761246,82.714058
1.1099986,1.279950,9.886050,1.278000,10.050152,82.694359,82.622932
1.1146634,1.282950,9.892950,1.297050,10.059759,82.591972,82.610931
1.1193281,1.290000,9.889951,1.279950,10.055521,82.687080,82.568558
1.1239909,1.282950,9.874050,1.312050,10.043122,82.493324,82.596947
1.1286550,1.303950,9.871051,1.294950,10.040659,82.589890,82.474892
1.1333195,1.279950,9.865951,1.300050,10.033215,82.554985,82.608070
1.1379845,1.306950,9.856951,1.258950,10.022602,82.783951,82.447113
1.1426494,1.290000,9.868951,1.267950,10.033344,82.739914,82.552917
1.1473131,1.315950,9.847051,1.267950,10.015181,82.726677,82.388153
1.1519775,1.327950,9.847051,1.261050,10.015893,82.766983,82.319565
1.1566417,1.345050,9.862050,1.267950,10.033788,82.740234,82.233551
1.1613038,1.326000,9.853951,1.273050,10.023935,82.703674,82.336014
1.1659670,1.336050,9.853951,1.282950,10.026531,82.648537,82.278625
1.1706315,1.350000,9.853951,1.282950,10.028399,82.649910,82.198990
1.1752968,1.339950,9.864000,1.273050,10.035667,82.712250,82.264153
1.1799614,1.342950,9.864000,1.258950,10.034289,82.792404,82.247040
1.1846243,1.336050,9.853951,1.282950,10.026531,82.648537,82.278625
1.1892879,1.300050,9.838051,1.264050,10.003759,82.740845,82.472260
1.1939518,1.297050,9.820951,1.270950,9.987429,82.689003,82.476501
1.1986156,1.285050,9.841950,1.288050,10.008717,82.605934,82.561050
1.2032802,1.306950,9.850051,1.266000,10.016706,82.739029,82.441879
1.2079444,1.297050,9.852000,1.249050,10.015207,82.835686,82.499947
1.2126079,1.309050,9.876000,1.267950,10.042744,82.746742,82.449539
1.2172726,1.324050,9.868951,1.297050,10.041496,82.578423,82.358643
1.2219352,1.306950,9.865951,1.288050,10.035147,82.625519,82.453918
1.2265980,1.267950,9.880951,1.266000,10.042093,82.757484,82.687614
1.2312632,1.266000,9.874050,1.266000,10.035057,82.752380,82.693695
1.2359266,1.225050,9.876000,1.270950,10.032519,82.722038,82.928970
1.2405908,1.222950,9.868951,1.297050,10.028666,82.568878,82.935974
1.2452544,1.197000,9.883051,1.314000,10.041618,82.480972,83.094177
1.2499176,1.185000,9.888000,1.285050,10.041321,82.647339,83.166138
