Time (s), X (m/s2), Y (m/s2), Z (m/s2), R (m/s2), Theta (deg), Phi (deg)
0.8855788,0.911965,9.712767,0.931406,9.799849,84.546211,84.636032
0.8880949,0.928714,9.686445,0.919442,9.774206,84.602310,84.523354
0.8906109,0.885643,9.722338,0.919442,9.805794,84.619743,84.795082
0.8931270,0.849452,9.676874,0.940978,9.759554,84.467171,84.983337
0.8956350,0.866202,9.686445,0.926621,9.769143,84.557213,84.889969
0.8981509,0.888036,9.688838,0.962513,9.776943,84.350235,84.763153
0.9006667,0.883251,9.698409,0.943370,9.784130,84.467033,84.796333
0.9031826,0.861416,9.710373,0.969691,9.796616,84.319427,84.930511
0.9056985,0.842274,9.710373,0.929013,9.791008,84.555336,85.042595
0.9082143,0.837488,9.705587,0.933799,9.786306,84.524567,85.068207
0.9107302,0.835095,9.712767,0.988834,9.798623,84.208099,85.085846
0.9132460,0.849452,9.727123,0.929013,9.808239,84.564934,85.009125
0.9157652,0.837488,9.700802,0.945763,9.782710,84.452148,85.065788
0.9182812,0.861416,9.727123,0.926621,9.809056,84.579422,84.939194
0.9207971,0.876072,9.722338,0.931406,9.806063,84.549675,84.851028
0.9233131,0.880858,9.743873,0.931406,9.827842,84.561790,84.834435
0.9258290,0.871287,9.731909,0.914656,9.813551,84.652077,84.884018
0.9283450,0.892822,9.763016,0.936192,9.848353,84.545181,84.774872
0.9308609,0.928714,9.743873,0.917049,9.830897,84.647530,84.555435
0.9333768,0.890429,9.724730,0.917049,9.808375,84.635208,84.768394
0.9359030,0.863809,9.712767,0.955334,9.797789,84.404480,84.917747
0.9384191,0.909572,9.770494,0.929013,9.856619,84.591690,84.681450
0.9409353,0.909572,9.731909,0.929013,9.818373,84.570557,84.660484
0.9434516,0.940678,9.758230,0.907478,9.845377,84.711372,84.493790
0.9459677,0.971785,9.739087,0.902692,9.828989,84.730545,84.301781
0.9484839,0.933500,9.724730,0.917049,9.812379,84.637405,84.516846
0.9510002,0.876072,9.772886,0.933799,9.856408,84.563629,84.877518
0.9535164,0.888036,9.746265,0.952942,9.832924,84.438545,84.793839
